studentId,firstName,middleName,lastName,birthdate,personalNumber,classId
103,Quentin,Novak,Sloan,1985-04-13,4340187539,39
104,Max,Herman,Pierce,1987-07-12,2735712681,49
105,Dorothy,Gray,Goodwin,1994-04-12,9560803014,22
106,Faith,Mays,Dunn,1983-12-05,3910973676,49
107,Marisa,Howard,Cox,1957-01-27,0795117755,48
108,Toni,Mills,Gallagher,1991-07-03,6168465258,34
109,Taryn,Huff,Mason,1993-04-25,3184699174,42
110,Lorraine,Pierce,Weiss,2001-03-22,0643512319,44
111,Carey,Wilkins,Webb,1993-10-08,5355906082,7
112,Kristen,Costa,Mooney,1954-12-30,9805769410,25
113,Ernest,Gilbert,Buckley,1969-06-11,3726917577,6
114,Karrie,Lin,Ochoa,1976-02-22,1655218971,33
115,Roy,Compton,Goodwin,2003-08-02,4524568403,47
116,Marc,Arroyo,Johnson,1962-06-17,0541507625,7
117,Daniel,Mayo,May,1984-10-09,7966841311,42
118,Kurt,Estes,Mc Neil,1955-04-19,2081069602,36
119,Evan,Frazier,Lucero,1984-07-17,2021124872,22
120,Susan,Bonilla,Barajas,1956-10-31,8476325440,6
121,Timmy,Haynes,Banks,1964-11-09,3866966438,15
122,Fred,Lucas,Strickland,1987-12-23,2844365613,26
123,Carrie,Barton,Valdez,1959-09-15,3890218620,2
124,Stefanie,Bush,Ingram,1982-12-27,2285750463,48
125,Elisa,Smith,Gaines,1979-03-05,8868349503,35
126,Stephan,Allison,Stanton,1965-05-26,5103273082,20
127,Ricardo,Burns,Shelton,1979-10-19,6494858651,33
128,Raquel,Kent,Dunlap,2002-09-24,6013414702,5
129,Bruce,Grant,Butler,1953-03-16,1473131983,1
130,Shelley,Baxter,Norris,1953-06-07,6295634342,12
131,Gena,Dorsey,Copeland,1973-03-27,8561345923,35
132,Mario,Melendez,Meyer,1985-01-08,5029904893,21
133,Jeanine,Wilson,Duke,2002-02-25,6059051708,12
134,Nancy,Solis,Fields,1954-10-24,6612944788,8
135,Suzanne,Meyer,Rivers,1985-08-24,4983044116,35
136,Becky,Hayes,Sloan,1973-03-21,5016944390,47
137,Bart,Hale,Hale,1971-08-17,3680885905,2
138,Bobby,Robertson,Salazar,1970-09-02,8518531514,6
139,Marianne,Green,Bean,1988-12-03,1567278325,25
140,Gloria,Garner,Orr,1954-06-29,6384135996,18
141,Reginald,Donovan,Leach,1987-09-04,1035535584,10
142,Darius,Vaughn,Christian,2000-09-01,4533296393,49
143,Megan,Hayes,Browning,1972-01-03,4417161325,11
144,Betty,Rose,Baxter,1960-01-09,6755546464,16
145,Wendy,Vaughan,Lambert,1995-06-20,1755575743,6
146,Helen,Case,Ibarra,1981-03-14,0086853932,43
147,Josephine,Christian,Clayton,1980-06-19,2299047703,16
148,Holly,Frey,Pitts,1969-11-29,2971422736,36
149,Shelly,De Leon,Fleming,1962-08-24,6161565133,40
150,Darren,Leon,Benjamin,1966-10-07,5279322756,38
151,Sonia,Massey,Bradley,1998-11-03,4692886761,6
152,Jeffrey,Yu,Tapia,1997-10-28,7689060498,23
153,Kisha,Nguyen,O'Neal,1969-10-26,3805955715,5
154,Bernard,Osborne,Salinas,1981-09-17,7381125432,36
155,Tracy,Parsons,Combs,1990-10-16,5582271953,48
156,Albert,Golden,Frey,1969-02-08,0076581869,28
157,Gerard,Irwin,Glass,1986-07-15,7204095521,2
158,Mandi,Calderon,Beck,1955-04-18,5688565549,36
159,Carlton,Herman,Ayala,1961-05-10,4190054315,14
160,Lana,Hogan,Drake,1981-11-17,0941116993,21
161,Irma,Khan,Choi,1957-02-17,6893551778,31
162,Jon,Terry,Garrett,1962-05-06,7787802689,48
163,Garrett,Braun,Neal,1991-04-19,2384111396,21
164,Felipe,Proctor,Harding,1992-11-19,4025759846,7
165,Jenna,Chang,Branch,1980-12-27,4168655361,37
166,Alexandra,Frederick,Riddle,1961-09-30,5355749105,14
167,Randolph,Burch,Martin,1960-11-04,5463927120,36
168,Hope,Moon,Roman,1967-08-19,1931423047,46
169,Elizabeth,Harrington,Marks,1998-07-01,1499361754,42
170,Chasity,Randolph,Dyer,1983-05-14,4718126739,5
171,Quincy,Lindsey,Ibarra,1998-10-31,0835769608,50
172,Sheldon,Pace,Young,1967-02-08,6423282869,48
173,Ashley,Clements,West,1974-05-16,4772081762,27
174,Abel,Mcpherson,Greene,1983-01-20,3832593112,47
175,Keith,Gonzales,Brewer,1977-02-26,7804291238,19
176,Marie,Thomas,O'Neal,1972-03-10,6438248280,48
177,Trisha,Palmer,Knox,1968-12-20,1386991182,22
178,Jim,Banks,Kane,2007-09-07,3931403346,7
179,Reginald,Lamb,Henry,1995-07-09,2694866737,4
180,Tania,Tran,Watson,2005-12-21,7824564709,4
181,Rusty,Bolton,Reeves,1992-12-07,5414144870,15
182,Cassandra,Moreno,Mercado,1962-11-20,6388956652,1
183,Jason,Schneider,Lara,1993-01-31,0691990694,37
184,William,Lester,Morrison,1994-06-10,6295724309,19
185,Francisco,Gray,Mc Donald,1962-08-04,7913754492,34
186,Jeremiah,Church,Whitehead,1983-05-31,8589319649,32
187,Louis,Vance,Mc Guire,1968-03-16,7457144273,21
188,Herman,Greer,Harrington,1973-06-11,6624099381,31
189,Pedro,Mitchell,Kline,1972-01-08,5519675984,5
190,Rocky,Cochran,Bonilla,1969-07-16,7340075038,15
191,Byron,Tran,Gay,1994-09-06,2876438819,14
192,Nathan,Huynh,Campbell,1969-05-01,3128746508,28
193,Alyssa,Goodwin,Randolph,1962-04-26,2074136037,31
194,Steven,Poole,Wolfe,1960-01-18,1150730997,17
195,Andres,Barr,Bean,2005-05-12,4336476290,45
196,Sherrie,De Leon,De Leon,1978-05-02,5867587585,13
197,Rogelio,Dawson,Walters,1962-05-17,2495640484,41
198,Tonya,Knight,Kaufman,1987-02-13,7545285358,31
199,Ernesto,Rocha,Preston,1987-01-13,2341908836,24
200,Lora,Carter,Vazquez,1986-09-21,7785655262,31
201,Dean,Bray,Russo,1973-05-11,0782140786,23
202,Daniel,Benton,Ramirez,1965-11-01,6658854715,11
203,Yolanda,Stokes,Lutz,1979-06-01,7547931745,24
204,Earnest,Stephenson,Russo,1987-04-12,0624648339,40
205,Cornelius,Osborn,Duncan,1975-12-07,4039970303,24
206,Celeste,Weeks,Moreno,1984-09-25,2188193960,46
207,Angelique,Allen,Kerr,1976-06-15,7193539650,9
208,Leo,Simpson,Rowe,1994-10-07,3329724033,21
209,Patrice,Bush,Silva,1957-07-22,1315321583,3
210,Johnnie,Saunders,Church,1971-08-09,7263545359,5
211,Darrell,Yates,Montgomery,1953-02-19,2356269566,32
212,Jimmie,Liu,Woods,1986-11-07,4560877252,16
213,Janelle,Adams,Romero,1967-10-11,1433629760,11
214,Lamar,Collier,Sharp,1963-05-20,2915230214,38
215,Kim,Mc Bride,Jimenez,1996-12-11,5395331054,47
216,Laura,Owen,Hoffman,2002-03-30,4784568463,17
217,David,Reed,Hull,1977-04-04,4009315455,28
218,Levi,Walters,Simmons,2004-11-09,1666822998,50
219,Shelia,Rush,Shannon,1983-04-18,5589429564,23
220,Bobbi,Nicholson,Jensen,2005-07-29,8345629531,9
221,Jayson,Simmons,Lloyd,2001-07-16,6394464027,11
222,Phillip,Wolfe,Guerra,1995-05-26,2673753982,6
223,Abel,Hurst,Case,2003-08-12,3775332616,46
224,Harvey,Mercer,Barr,1981-12-16,5788532321,14
225,Roxanne,Bond,Kemp,1996-09-07,2214443456,3
226,Daphne,Hurst,Atkins,1982-07-03,6996752974,32
227,Shonda,Moss,Bishop,1957-10-15,4714172166,44
228,Sergio,Stanley,Mcintosh,1967-04-29,1390874629,30
229,Oliver,Nichols,Simon,1985-09-09,6242197185,20
230,Jamie,Hutchinson,Everett,2006-10-28,3978640578,24
231,Toni,Koch,Fischer,1962-10-26,5302782105,14
232,Eugene,Huerta,Everett,1989-11-06,2720749072,23
233,Stuart,Nicholson,Downs,1973-08-26,0112566470,28
234,Cristina,Bowers,Bentley,1961-10-19,0977054868,27
235,Eugene,Walsh,Gill,1985-08-12,4211904390,38
236,Alice,Snyder,Fleming,1980-02-06,2840610123,24
237,Fernando,Beard,Beasley,1991-06-22,5881457656,47
238,Tara,Bond,Blevins,1958-10-22,7448121844,39
239,Staci,Conway,Walker,1971-07-05,0384898448,50
240,Rodolfo,Becker,Archer,1985-11-09,7124853853,26
241,Ben,Sosa,Cuevas,1959-12-17,1498247015,23
242,Cheri,Bryan,Hall,1981-06-09,8987433741,5
243,Virgil,Berry,Montgomery,1968-11-21,4264794994,6
244,Roy,Foley,Hurley,1953-06-02,5029824942,15
245,Toby,Gonzalez,Beard,1969-05-27,5935358958,5
246,Latasha,Carson,Herring,1960-10-30,0458660842,31
247,Ronnie,Stark,Church,1954-07-23,1789802339,7
248,Ryan,Sosa,Campos,2006-12-08,4447294140,45
249,Billy,Flores,Hawkins,1971-02-07,2202434908,44
250,Steve,Austin,Golden,1956-02-14,9404227248,38
251,Dwayne,Rodgers,Lam,1954-01-29,6735461349,48
252,Michelle,Russell,Black,1965-07-08,9524767314,25
253,Roxanne,Baldwin,Richards,1956-10-29,0684613051,29
254,Neal,Lane,Miranda,1989-06-16,2775606935,25
255,Rick,Mcgrath,Fry,1993-03-07,4115334244,43
256,Tracie,Singleton,Sullivan,1985-12-17,5152863110,14
257,Charlene,Crawford,Burke,1970-03-23,6688443702,36
258,Kellie,Conley,Soto,2005-06-15,5992759389,23
259,Eric,Reed,Joyce,1998-08-05,7104339203,43
260,Sarah,Sandoval,Singleton,2001-06-06,7076461963,2
261,Cory,Sharp,Krause,1979-12-13,5092316207,4
262,Gwendolyn,Gaines,Odom,1962-02-17,6822360825,34
263,Stanley,Esparza,Gomez,1962-01-28,0983766508,37
264,Maggie,Woodard,Newton,1958-09-24,3499854938,27
265,Gloria,Hebert,Hartman,1961-10-15,6915978286,3
266,Sabrina,Hoover,Gallagher,1971-04-15,1520689865,45
267,Wayne,Hayes,Fernandez,1966-03-15,4133537617,41
268,Nelson,Pittman,Graves,1958-12-23,5884387264,14
269,Derick,Hopkins,Bird,1985-10-07,6878037650,5
270,Stanley,Mann,Bautista,1969-11-05,7561871738,6
271,Jose,Vaughan,Cain,1963-10-09,7132961649,44
272,Yolanda,Norman,Novak,1971-06-14,0626888570,39
273,Felipe,Mckenzie,Wood,1986-05-08,4907966524,5
274,Allen,Briggs,Barr,2005-06-09,4982256477,30
275,Darren,Eaton,Weber,1998-08-14,4391069593,12
276,Drew,Davenport,Casey,1973-02-07,7152893455,11
277,Tony,Alvarez,Nunez,1979-07-06,0204139880,15
278,Larry,Butler,Miller,2003-03-12,0654756372,46
279,Morgan,Levine,Brooks,1965-07-22,0404577760,42
280,Stephan,Bailey,Blanchard,1988-11-08,6793239226,26
281,Ginger,Andersen,Stout,1980-12-12,4006118463,30
282,Rachel,Wilkins,Bender,1958-11-08,6305133228,13
283,Marvin,Lynch,Singleton,2004-03-22,3839505960,9
284,Audra,Whitney,Pruitt,1982-07-28,1224337091,21
285,Roy,Burton,Hamilton,2005-09-30,3576335065,43
286,Stanley,Copeland,Soto,2005-04-19,5988560478,46
287,Abel,York,Phelps,1986-01-09,2871038298,12
288,Camille,Mc Daniel,Hess,1992-03-12,0193228604,40
289,Gilberto,Ochoa,Kaiser,1976-08-14,3723903989,39
290,Paul,Preston,Wolfe,2007-08-27,7917379777,46
291,Moses,Kidd,Ross,1962-11-17,1301121487,50
292,Sean,Barnes,Todd,1994-01-07,9667132535,23
293,Lisa,Colon,Stanton,1968-03-19,1311634277,37
294,Gustavo,Hines,Townsend,1978-01-28,7257863360,27
295,Dan,Lucero,Lewis,1958-11-28,5938799215,49
296,Leanne,Gibson,Nelson,2005-10-29,2429200452,13
297,Latoya,Franco,Zhang,1972-05-12,5977163328,38
298,Mickey,Aguirre,Crane,1963-02-28,6202035872,7
299,Kristina,Blackburn,Horton,1999-08-19,1865470938,42
300,Nakia,Yates,Greene,2006-02-12,1657191101,19
301,Claude,Avila,Gilmore,2002-08-18,1848608593,12
302,Nelson,Medina,Clayton,2003-07-31,6545060411,21
303,Daniel,Monroe,Clarke,1974-03-03,7971186504,45
304,Terra,Villanueva,Moran,1954-04-05,4013476826,47
305,Marcella,Reese,Woods,2000-05-07,3400962660,25
306,Leticia,Whitney,Mc Millan,1990-08-17,5287331228,41
307,Felipe,Clayton,Myers,1987-03-02,1134106121,25
308,Ray,Dodson,Gibbs,1959-05-23,6162181588,2
309,Laurie,Wilkins,Payne,1998-11-02,2993619797,36
310,Dora,Blair,Cummings,1973-01-29,9465380666,20
311,Hollie,Rowe,Spears,1959-06-15,6131999116,14
312,Angelina,Evans,Larson,1975-01-12,4799548745,15
313,Ruby,Kane,Stephens,1992-11-24,6589055888,36
314,Loretta,Cooke,Sanders,1962-09-28,7312147345,4
315,Jennifer,Neal,Best,1973-06-25,6431449471,5
316,Jeremy,Avery,Alexander,1974-02-04,4595527026,11
317,Owen,Lara,Ball,1965-11-28,7940084890,11
318,Dorothy,Baker,Steele,1987-07-04,6471408751,35
319,Lorie,Hammond,Stanley,1960-12-25,2885772957,39
320,Renee,Richards,Perkins,1964-06-27,8701182202,9
321,Vincent,Pollard,Meza,1993-04-06,5942432676,23
322,Rhonda,Cantu,Hobbs,1982-01-03,5037487752,28
323,Darrell,Torres,Love,1990-05-11,1763622104,15
324,Ronnie,Vincent,Foley,1986-02-10,2785670044,4
325,Gilbert,Fletcher,Gentry,1959-12-21,0394445733,35
326,Joseph,Barr,Ortiz,1977-10-01,2709559526,43
327,Latanya,Bray,Osborn,1956-03-28,0904632465,43
328,Marlon,Wallace,Dillon,1961-04-11,9801563615,12
329,Yesenia,Kirby,Winters,1999-07-13,0618563410,33
330,Emma,Wall,Perkins,2000-10-15,8597245020,19
331,Tiffany,Shea,Lara,1953-09-28,5109756561,33
332,Daphne,Shields,Norman,1969-05-08,3515427528,2
333,Autumn,Newman,Henson,1956-07-24,8768092299,24
